id,naslov,dolzina,leto,ocena,metascore,glasovi,zasluzek,oznaka,opis
30287,Jezebel,104,1938,7.5,,11828,,,"In 1850s Louisiana, a free-spirited Southern belle loses her fiancé due to her stubborn vanity and pride, and vows to win him back."
30341,Gospa izginja,96,1938,7.8,,46635,,,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train."
30637,Pygmalion,96,1938,7.7,,7758,3052000,,A phonetics and diction expert makes a bet that he can teach a cockney flower girl to speak proper English and pass as a lady in high society.
30643,Obala v megli,91,1938,7.8,,8107,26765,,A military deserter finds love and trouble (and a small dog) in a smoky French port city.
30993,Večna iluzija,126,1938,7.9,,23012,4659913,,A man from a family of rich snobs becomes engaged to a woman from a good-natured but decidedly eccentric family.
31210,Gospa Judita,104,1939,7.5,,9834,,,"A young socialite is diagnosed with an inoperable brain tumor, and must decide whether or not she'll meet her final days with dignity."
31225,Destry Rides Again,95,1939,7.7,81,10068,345000,,"Deputy sheriff Destry tames the town of Bottle Neck, including saloon singer Frenchy."
31381,V vrtincu,238,1939,8.1,97,286032,198676459,,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
31385,Zbogom mister Chips,114,1939,7.9,,9607,,,An aged teacher and former headmaster of a boarding school recalls his career and his personal life over the decades.
31398,Gunga Din,117,1939,7.3,,10815,,,"In 19th century India, three British soldiers and a native waterbearer must stop a secret mass revival of the murderous Thuggee cult before it can rampage across the land."
31448,The Hound of the Baskervilles,80,1939,7.5,,9311,,,"Sherlock Holmes and Dr Watson investigate the legend of a supernatural hound, a beast that may be stalking a young heir on the fog-shrouded moorland that makes up his estate."
31455,The Hunchback of Notre Dame,117,1939,7.8,,10254,3270000,,"In 15th-century France, a gypsy girl is framed for murder by the infatuated Chief Justice, and only the deformed bellringer of Notre Dame Cathedral can save her."
31505,Jamaica Inn,108,1939,6.4,,8956,,,"In Cornwall, 1819, a young woman discovers she's living near a gang of criminals who arrange shipwrecks for profit."
31679,Mister Smith v senatu,129,1939,8.1,73,105373,9600000,,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
31725,Ninočka,110,1939,7.9,,18638,1187000,,A stern Russian woman sent to Paris on official business finds herself attracted to a man who represents everything she is supposed to detest.
31762,Only Angels Have Wings,121,1939,7.7,86,12321,,,"At a remote South American trading port, the manager of an air freight company is forced to risk his pilots' lives in order to win an important contract."
31867,The Roaring Twenties,106,1939,8.0,,12561,,,Three men attempt to make a living in Prohibitionist America after returning home from fighting together in World War I.
31885,Pravilo igre,110,1939,8.0,,26317,,,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
31951,Son of Frankenstein,99,1939,7.1,,8947,,,"Returning to the ancestral castle long after the death of the monster, the son of Dr. Frankenstein meets a mad shepherd who is hiding the comatose creature. To clear the family name, he revives the creature and tries to rehabilitate him."
31971,Stagecoach,96,1939,7.8,93,42759,,,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.
32138,Čarovnik iz Oza,102,1939,8.0,92,367933,2076020,PG,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
32143,V ženskem carstvu,133,1939,7.8,,12405,2270000,,A study of the lives and romantic entanglements of various interconnected women.
32145,Glas v viharju,104,1939,7.6,,16190,762484,,A servant in the house of Wuthering Heights tells a traveler the unfortunate tale of lovers Cathy and Heathcliff.
32455,Fantasia,125,1940,7.8,96,87407,76408097,,A collection of animated interpretations of great works of Western classical music.
32484,Foreign Correspondent,120,1940,7.5,88,18125,3484588,,"On the eve of World War II, a young American reporter tries to expose enemy agents in London."
32551,The Grapes of Wrath,129,1940,8.0,96,84943,55000,,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression."
32553,Veliki diktator,125,1940,8.4,,199577,288475,,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
32599,Njegovo dekle Petek,92,1940,7.9,,52730,296000,,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.
32701,Pismo,95,1940,7.6,,11499,,,"The wife of a rubber plantation administrator shoots a man to death and claims it was self-defense, but a letter in her own hand may prove her undoing."
32762,The Mark of Zorro,94,1940,7.5,,9111,4360000,,A young Spanish aristocrat must masquerade as a fop in order to maintain his secret identity of Zorro as he restores justice to early California.
32904,The Philadelphia Story,112,1940,7.9,96,62550,,,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
32910,Pinocchio,88,1940,7.4,99,128948,84254167,G,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy."
